date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:11%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/family-story/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/family-story/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:15	257839/257839	---MC-	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2011:47:35%20GMT	http://web.archive.org/web/20190106054140im_/http://richlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20190106054140im_/http_/richlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:16%20GMT	http://web.archive.org/web/20191020174601im_/http://richlegacy.com/wp-content/uploads/2015/03/people-mother-family-father_new-1.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/richlegacy.com/wp-content/uploads/2015/03/people-mother-family-father_new-1.47.delayed	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:19	40694/40694	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2011:48:12%20GMT	http://web.archive.org/web/20181201130427im_/http://richlegacy.com/wp-content/uploads/2017/09/kind.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201130427im_/http_/richlegacy.com/wp-content/uploads/2017/09/kind.jpg	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:21	94586/94586	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sat,%2027%20Mar%202021%2011:48:20%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/%22http://web.archive.org/web/20191020174601im_/http://richlegacy.com/wp-content/uploads/2015/03/White-Background-e1503089869834.jpg%22	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/_http_/web.archive.org/web/20191020174601im_/http_/richlegacy.com/wp-content/uploads/2015/03/White-Background-e1503089869834.jpg_	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:25	94609/94609	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sat,%2027%20Mar%202021%2011:48:22%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/%22http://web.archive.org/web/20191020174601im_/http://richlegacy.com/wp-content/uploads/2015/03/children-running-on-meadow-at-sunset-e1503089465333_new.jpg%22	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/_http_/web.archive.org/web/20191020174601im_/http_/richlegacy.com/wp-content/uploads/2015/03/children-running-on-meadow-at-sunset-e15030894653	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:25	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:25%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/Sam.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/Sam.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:48:26%20GMT	http://web.archive.org/web/20181204173709im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/Sam.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181204173709im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/Sam.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:26	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:26%20GMT	http://web.archive.org/web/20181204173709im_/http://richlegacy.com/wp-content/uploads/2017/01/Sam.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181204173709im_/http_/richlegacy.com/wp-content/uploads/2017/01/Sam.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:32	28928/28928	---MC-	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2011:48:26%20GMT	http://web.archive.org/web/20181227043654im_/http://richlegacy.com/wp-content/uploads/2017/01/Sam.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181227043654im_/http_/richlegacy.com/wp-content/uploads/2017/01/Sam.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:32%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2017/02/pdf.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2017/02/pdf.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:48:34%20GMT	http://web.archive.org/web/20181205024501im_/http://yourrichlegacy.com/wp-content/uploads/2017/02/pdf.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205024501im_/http_/yourrichlegacy.com/wp-content/uploads/2017/02/pdf.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:37	130155/130155	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2011:48:17%20GMT	http://web.archive.org/web/20181202023602im_/http://richlegacy.com/wp-content/uploads/2015/03/people-mother-family-father_new-1.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181202023602im_/http_/richlegacy.com/wp-content/uploads/2015/03/people-mother-family-father_new-1.jpg	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:37	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:36%20GMT	http://web.archive.org/web/20181205024501im_/http://richlegacy.com/wp-content/uploads/2017/02/pdf.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205024501im_/http_/richlegacy.com/wp-content/uploads/2017/02/pdf.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:39%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/Events.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/Events.53.delayed	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:48:39%20GMT	http://web.archive.org/web/20181205064241im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/Events.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205064241im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/Events.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
